,date,status,id,text,photo
0,Début de diffusion le 13 jan 2020,Actif,ID : 587615035404310,"Jef Van den Bergh vraagt minister François Bellot om in te grijpen. Nieuwe treinen die niet voldoen op vlak van toegankelijkheid, dat kan anno 2020 niet. Onbegrijpelijk.  👉 Lees meer: https://www.cdenv.be/actua/nieuwe-bestelling-dubbeldektreinen-onvoldoende-toegankelijk/",https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/82473364_10157967211629532_6145746687567593472_n.jpg?_nc_cat=101&_nc_oc=AQkt6_98mWA7VhxVUdlpHkTeL1ouoe8mBZqL2tpcnpF-GZeJ8IrfRUNqO9UqFRxkf5Y&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=6908d0248399786e1b481810b590d703&oe=5E92F784
1,31 déc 2019 - 6 jan 2020,Inactive,ID : 591146271457750,"Nieuwjaar, een moment om te genieten samen met vrienden, familie en al wie je dierbaar is. Het is ook het moment om plannen te maken voor de toekomst! Wij wensen jou alvast een gelukkig en bruisend 2020!",
2,25 déc 2019 - 27 déc 2019,Inactive,ID : 483517615638294,"Kerstmis, een feest dat we vieren met iedereen die ons dierbaar is. Zalig kerstfeest!",https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/81471579_483517645638291_7742757614328479744_n.jpg?_nc_cat=106&_nc_oc=AQmSkHfGWKsJlTtvgRASRf_RFOK3oEeFBGpA778gT7fVCr_UmOwTBCESuFKcJMbnChU&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=5f363d7ec2e4c24622185f070fdb6d1f&oe=5E9C42C6
3,24 déc 2019 - 8 jan 2020,Inactive,ID : 2529681543983022,,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/81082128_2529681570649686_3380892599215718400_n.jpg?_nc_cat=104&_nc_oc=AQnahTOp0M39EbZG3f1Ho3wxfSzXjlIAXAqA53yxKSir2uCup2IKVvBmEffCQIT26-k&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=156ba87ac70c982bf3e675d06e7f1e65&oe=5E8E91C4
4,24 déc 2019 - 2 jan 2020,Inactive,ID : 815731332205575,Je thuis voelen in je buurt is ontzettend belangrijk. Daar werken we elke dag aan! Heb jij nog ideeën? Laat het ons weten!,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/81135183_815731368872238_4215828743999979520_n.jpg?_nc_cat=103&_nc_oc=AQnDBYsZTvEysnqgy-OIdBhQtDRTowfrWxRlbrLpFQbjgq_IN7eWAiGx6XPl-9ArCRU&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=643269c4c8cf09dca83780346f4014f7&oe=5E92F2D2
5,24 déc 2019 - 27 déc 2019,Inactive,ID : 2501324329903857,"Kerstmis, een feest dat we vieren samen met iedereen die ons dierbaar is. Zalig kerstfeest!",https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/81500036_2501324363237187_13637354388455424_n.jpg?_nc_cat=101&_nc_oc=AQnosRuYRtGVvFDqeEg2amT0CO2imRhtKiJdS1bbYQ3BHlVfKM0xnqE1TBtOlIRLZIM&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=fba77b29da528df654bd43fb80191d57&oe=5E9FCB0C
6,24 déc 2019 - 2 jan 2020,Inactive,ID : 453431462275342,Heb jij nog ideeën om ouderenzorg in jouw buurt beter af te stemmen op de noden? Laat het ons hier weten. 👇,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/80890284_453431498942005_5080541424601006080_n.jpg?_nc_cat=101&_nc_oc=AQmpGxAjtEvHbu-Mf6JWTjEtWu9CvppP8HNsyOsfEDkHnZQ9lXqeyzkeHKwRD4sZq8E&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=aa48f36a31a73164afabf9d450405a66&oe=5E9B9B5D
7,24 déc 2019 - 26 déc 2019,Inactive,ID : 2622217041198548,"Kerstmis, een feest dat we vieren met iedereen die ons dierbaar is. Het ideale moment ook voor een goed gesprek. Joachim Coens wenst je een Zalig Kerstfeest én heel wat warme gesprekken!",
8,24 déc 2019 - 25 déc 2019,Inactive,ID : 650774962340939,Maak jij je ook al klaar voor de lastige vragen op het kerstfeest? 😬  Fijne kerstdagen! 🎄 • • • #vredeopaarde #kerstmis #christmas #feestdagen #eindejaar #familie,
9,24 déc 2019 - 2 jan 2020,Inactive,ID : 857465164705752,Heb jij ideeën om jouw omgeving fietsvriendelijker te maken? Laat het ons hier weten. 👇,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/81237751_857465181372417_3228098725343657984_n.jpg?_nc_cat=108&_nc_oc=AQmUq91RgpL7jnFo2rGQ-aQpOpCxCAb-31dctij9KUe0m26TA0DM0RqwwGFV2nShYog&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=fefe1f4ed48f9dc194773d1ac333b56a&oe=5ED185C0
