,date,status,id,text,photo
0,Début de diffusion le 13 jan 2020,Actif,ID : 762501567571687,"☀ Il fera beau demain est un nouveau mouvement positif et participatif. A l’heure du « plus », ➕ de consommation, ➕ de déchets, ➕ de déplacements, ➕ de pollution, ➕ de stress, ➕ de burn-out, ➕ d’inquiétudes, ➕ d’incompréhension… nous voulons réfléchir au « mieux »✨.  🧐 Comment faire pour vivre mieux ? Se sentir bien, soutenu dans ses initiatives et protégé dans les situations difficiles ? Capable de gérer son temps, entre déplacements, travail, enfants et parents, activités divers, engagement citoyen ou politique ?  🤔 Quels arbitrages doivent être faits ? Où mettre les curseurs ? Que faut-il anticiper, inventer ?  💪Nous voulons y réfléchir, avec vous 🤝. C’est pourquoi nous lançons un grand mouvement de consultations, débats, rencontres, discussions et partages.  👊 Rejoignez le mouvement ! www.ilferabeaudemain.team https://twitter.com/FeraBeau",
1,Début de diffusion le 11 jan 2020,Actif,ID : 521271548521088,"❗️ALERTE REFONDATION ❗️  ☀️ Il fera beau demain est un nouveau mouvement positif et participatif.  A l’heure du « plus », ➕ de consommation, ➕ de déchets, ➕ de déplacements, ➕ de pollution, ➕ de stress, ➕ de burn-out, ➕ d’inquiétudes, ➕ d’incompréhension… nous voulons réfléchir au « mieux »✨.  🧐 Comment faire pour vivre mieux ? Se sentir bien, soutenu dans ses initiatives et protégé dans les situations difficiles ? Capable de gérer son temps, entre déplacements, travail, enfants et parents, activités divers, engagement citoyen ou politique ?  🤔 Quels arbitrages doivent être faits ? Où mettre les curseurs ? Que faut-il anticiper, inventer ?  💪Nous voulons y réfléchir, avec vous 🤝. C’est pourquoi nous lançons un grand mouvement de consultations, débats, rencontres, discussions et partages.  👊 Rejoignez-nous !  www.ilferabeaudemain.team www.sicetaitmoi.be https://twitter.com/FeraBeau",https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/81641134_2367129926724728_3098987150817886208_n.jpg?_nc_cat=110&_nc_ohc=QW1goI5KZoMAX85JrXv&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=5ce7d85e11696b34cbe9958ef488c84d&oe=5E9F2D11
2,6 jan 2020 - 11 jan 2020,Inactive,ID : 2677356042491912,"🤝 Rejoignez-nous pour pour construire ensemble un nouveau projet de société !  Ouvert à tous !   📍Où ? Namur Expo  ⏰Quand ? Le 11 janvier 2020, dès 9h30  Plus d'infos sur le programme ➡ http://www.lecdh.be/article/invitation-congres-de-lancement-du-processus-de-refondation?fbclid=IwAR2hRDheIShVDyCH8Ve0XdM2zHG5bx_BsVm2_urwLH1B8n7VEwvU-S7xcR0  ✍️Lien d'inscription : http://www.inscription-cdh.be/",
3,3 jan 2020 - 11 jan 2020,Inactive,ID : 474592890157092,"✨🍾 Pour marquer ce début d’année, le cdH vous donne rendez-vous le 11 janvier pour le grand congrès de lancement de la refondation ! L'événement est ouvert à tous, membres et non-membres du parti.  🤝 Rejoignez-nous pour partager vos idées et vos souhaits pour construire ensemble une société du vivre ensemble !  📍Où ? Namur Expo ⏰Quand ? Le 11 janvier 2020, dès 9h30 Plus d'infos sur le programme ➡️ http://www.lecdh.be/article/invitation-congres-de-lancement-du-processus-de-refondation  ✍️Lien d'inscription : http://www.inscription-cdh.be/",https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/82442776_2350996375004750_7238138934604070912_n.jpg?_nc_cat=100&_nc_ohc=20qQqt8FckAAX-HYKym&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=f0dbe54c0fe2da713ae13df57f375796&oe=5ED38BC8
4,20 déc 2019 - 13 jan 2020,Inactive,ID : 2442520969185820,"Le débat sur l'avortement revient au Parlement où @[514448208744860:Catherine Fonck] défendra la position du @[189649407806135:CDH - Centre Démocrate Humaniste].

Pour nous, c'est oui à la dépénalisation pour les femmes mais non à l'extension du délai légal à 18 semaines.

Une IVG au 5e mois de grossesse sans raison médicale, c'est non ! ❌

Et vous, vous en pensez quoi ? 🤔",
5,20 déc 2019 - 10 jan 2020,Inactive,ID : 637416000129767,"Le débat sur l'avortement revient au Parlement où Catherine Fonck défendra la position du cdH.    Pour nous, c'est oui à la dépénalisation pour les femmes mais non à l'extension du délai légal à 18 semaines.   Une IVG au 5e mois de grossesse sans raison médicale, c'est non ! ❌  Et vous, vous en pensez quoi ? 🤔",https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/79808100_2322905834480471_3534752247747444736_n.jpg?_nc_cat=100&_nc_ohc=RiaEmq6QvOMAX8JmN-A&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=cb3d1319253e59bd6e1af334b3c37e00&oe=5E944832
6,19 déc 2019 - 23 déc 2019,Inactive,ID : 980093622346761,"🚈🙁 9 décembre 2019 – Jour de grève à la SNCB  “Les jours de grève ne sont pas ceux où il y a le plus d’embouteillages. Car un signal fort est envoyé à tout le monde. Des gens privilégient des alternatives, évitent Bruxelles, font du télétravail. Cela montre qu’il y a des solutions d’un jour. Il faut arriver à trouver à des solutions de tous les jours. Le problème n’est pas tant le système que la volonté́ d’agir ensemble.”   Offre de transports améliorée 📈, semaine de 4️⃣ jours, étalement des horaires,… Et si la grève SNCB, de ce jeudi, nous offrait une occasion de remettre en question les manières de faire. Responsable de la Refondation du CDH - Centre Démocrate Humaniste, Laurent de Briey analyse les dysfonctionnements actuels et plaide pour une réorganisation du système et une implication accrue du politique. ⤵️  ✅ ""Il faut agir à plusieurs niveaux. Les transports publics sont une des solutions. Mais ce n’est pas en augmentant légèrement la fréquence des bus qu’on offrira une réelle alternative aux parents qui doivent conduire leurs enfants à l’école en voiture. Il faut exploser le nombre de fréquences pour qu’ils puissent se passer de voiture.”   ⏱Le temps comme enjeu   Une semaine de 4️⃣ jours ? “On ne diminuerait pas le temps de travail, mais on organiserait une semaine sur 4 jours dans les professions où c’est possible. Cela diminuerait considérablement les bouchons. Dans la fonction publique, on pourrait étaler les horaires, ce qui permettrait des services ouverts à des horaires plus larges. On pourrait accroître le télétravail. Cela pose aussi la question du rythme d’une journée scolaire. Pourquoi ne pas imaginer des écoles avec des journées qui se termineraient plus tard, où l’enfant pourrait pratiquer plusieurs activités parascolaires : sport, musique, etc. ? Concilier le temps de travail et la vie de famille, être à l’heure à l’école pour conduire un enfant au sport, tout cela génère un stress énorme. Enfin, il faudrait coordonner tout cela.”   😥 Le grand désenchantement    ""Les politiques sont désormais vus comme des personnes qui s’engueulent, coûtent cher. Les gens ont peur de l’avenir, ne croient plus en la capacité des politiques à les y emmener. Les politiques doivent retrouver leur rôle de chef d’orchestre. Car les seuls qui donnent une vision claire, ce sont les populistes, ceux qui définissent un bouc émissaire. En Belgique, il y a le Vlaams Belang, mais aussi le PTB.”  💣 La mobilité, crash test de l’action politique  ""L’inefficacité du système explique les doutes de la population. Il y a un gros problème de coopération. La mobilité est le crash test de l’action politique. Beaucoup de problèmes se déroulent à l’échelle mondiale, comme le réchauffement climatique. La Belgique ne pourra le résoudre seule. Mais la mobilité, cela ne dépend que de la classe politique belge. En une législature, on doit pouvoir montrer qu’un plan a été mis en action, avec un vrai effet! Il faut retrouver une capacité d’action collective. Mais pour l’instant, les citoyens ont raison, cette action politique n’est pas à la hauteur.""  © DH.be",https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/80431816_2320689084702146_2716841434928906240_n.jpg?_nc_cat=109&_nc_ohc=sVzG0WQuPqYAX-Ek5Dc&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=0f7917d56ee6e37d53617e8f768f122b&oe=5EA22035
7,11 déc 2019 - 16 déc 2019,Inactive,ID : 1724544051009724,"""Oui, le réchauffement climatique est une grave menace pour la stabilité de nos sociétés et la survie de l'humanité. Mais non, ce n'est pas par le peur, mais en montrant qu'un monde plus désirable est possible, que l'on mettra la majorité des gens en mouvement.""  Responsable du processus de refondation du CDH - Centre Démocrate Humaniste, Laurent de Briey rejoint et approfondit l'analyse de  Bertrand Piccard sur le réchauffement climatique : 🔽  ""Le jour où Greta Thunberg est désignée personnalité de l'année par Time, Ursula Von der Leyen présente le Green Deal de la Commission européenne avec l'objectif d'une Europe Zéro Carbone d'ici 2050 ! La lutte contre le réchauffement climatique peut devenir le nouveau moteur de la construction européenne.  Bertrand Piccard propose l'approche qui me paraît peut-être la plus prometteuse pour y arriver parce qu'elle joue sur plusieurs leviers là où d'autres me paraissent trop manichéens.  Oui, les innovations technologiques sont indispensables pour améliorer l'efficacité énergétique. Mais non, cela ne signifie pas que l'on ne doit rien changer à nos modes de vie, de production et de consommation.  Et oui, la lutte contre le réchauffement climatique peut stimuler l'économie et créatrice d'activités. Mais non, cela ne signifie pas que le marché détient la solution. Au contraire, le monde politique doit utiliser son pouvoir réglementaire pour interdire certains comportements. La fiscalité et les subventions peuvent également favoriser les changements de comportement.  Oui, le réchauffement climatique est une grave menace pour la stabilité de nos sociétés et la survie de l'humanité. Mais non, ce n'est pas par le peur, mais en montrant qu'un monde plus désirable est possible, que l'on mettra la majorité des gens en mouvement.",https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/80595697_795717777560462_3251588163478487040_n.jpg?_nc_cat=103&_nc_ohc=MU2gnSfh3DAAX_Z4ij_&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=36bcf72e26e4f585e5457bb54ae60b22&oe=5EA4C89B
8,10 déc 2019 - 18 déc 2019,Inactive,ID : 689595634899161,"1 famille monoparentale sur 2 vit sous le seuil de pauvreté en Wallonie 👩‍👧‍👦👨‍👧 ! Que prévoit le Gouvernement wallon PS-MR-Ecolo pour les aider au budget 2020 ? 🅾️ € !  Le #walgov abandonne les plus fragilisés et ceux qui peuvent basculer rapidement dans la pauvreté : les familles monoparentales, les parents d’enfants handicapés, les agriculteurs et les seniors.  Le #walgov doit revoir sa copie du budget wallon 2020.  #pauvretéàladiète #budgetinhumain",https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/79134199_2302623799842008_5999479467473371136_n.jpg?_nc_cat=110&_nc_ohc=ujTw9zG8Y8EAX-vz_B-&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=d07eec3d5397baa509b0ad55ee445adc&oe=5ED21819
9,3 déc 2019 - 8 déc 2019,Inactive,ID : 578833452945283,"🌟🧡 A l’occasion de la Journée internationale des Personnes handicapées,  Céline Fremault dépose une résolution au Parlement francophone bruxellois demandant le renforcement du dépistage précoce de l’autisme, le remboursement des frais de logopédie et de psychomotricité ou encore la garantie aux familles d’une guidance familiale continue tout au long du parcours de vie.   🤝 Vous connaissez l’engagement fort du CDH - Centre Démocrate Humaniste quant aux personnes en situation de handicap et ce, depuis de très nombreuses années. Le handicap peut toutes et tous nous toucher durant la vie, il nous fait basculer dans un monde différent, riche humainement mais encore trop peu valorisé et soutenu. Pour rappel, le cdH était à l'initiative de l'élaboration du Plan transversal Autisme en 2016.",
