,date,status,id,text,photo
0,6 jan 2020 - 15 jan 2020,Inactive,ID : 446754856228654,"🌱 Nouvelle année, nouveaux horizons ? Envie de changement ?   📣 Nous cherchons un·e responsable du département actions-mobilisations-adhésions 🤩   Toutes les infos se trouvent ici 👇  ⏰ Vous avez jusqu'au 15/01 pour envoyer votre candidature !",https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/81955384_446754886228651_8007535660862799872_n.jpg?_nc_cat=105&_nc_ohc=vDw066lSI38AX-6vpTS&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=6667859fb5cb5db04883324196f76bb1&oe=5E9CD2D3
1,28 nov 2019 - 1 déc 2019,Inactive,ID : 567906560448021,"👏 ""Quand cela concerne les enfants, on ne parle pas de dépenses mais d'investissements. ""   📣 Jeudi dernier, Marie-Colline Leroy a interpellé la Première Ministre à propos des Droits des Enfants.   Le 20 novembre, la Convention internationale des droits de l'enfant fêtait ses 30 ans. Mais peut-on vraiment parler de fête alors qu'en Belgique 1 enfant sur 5 vit sous le seuil de pauvreté ? Retrouvez son interpellation complète à ce sujet 👇",
2,7 nov 2019 - 22 nov 2019,Inactive,ID : 391382625101922,"✍ Signez la pétition pour un congé paternité automatique et allongé ! 👇

En Belgique, un père n’a droit qu'à 10 jours de congé paternité facultatifs lors de la naissance de son bébé... Vous trouvez ça trop court ? 😱 Nous aussi ! .
😢 Ce chiffre est trop bas et ne permet pas à un couple de jeunes parents d’accueillir son nouveau-né de manière assez confortable.",
3,7 nov 2019 - 22 nov 2019,Inactive,ID : 394112461493815,"✍ Signez la pétition pour un congé paternité automatique et allongé ! 👇

Un congé paternité automatique et plus long, c'est aussi un congé paternité plus équilibré et avec plus sens. Vous êtes d'accord ? Signez la pétition !",
4,4 sep 2019 - 15 sep 2019,Inactive,ID : 498523337634099,"🌱Le renouveau chez Ecolo, ce n'est PAS juste un slogan. Découvrez toutes nos nouvelles têtes au Parlement bruxellois. 😍Enseignant.e ou   militant.e de la société civile, de Watermael ou de Bruxelles, ils et elles ont toutes de super atouts pour nous représenter.  Au total, 19 élu·e·s Groen et Ecolo siègeront au Parlement Bruxellois ces 5 prochaines années 🌿💪  👉 Découvrez-les sur ecolo.be/elu-e-s",
5,2 sep 2019 - 15 sep 2019,Inactive,ID : 675531816244209,"Il est là, plus que jamais, le temps de l'action 💪  Nous allons rendre notre avenir en plus désirable pour tout·e·s. Et ce n'est pas la peur qui nous guide, mais la volonté d'un meilleur 🌿",
6,7 juil 2019 - 12 juil 2019,Inactive,ID : 693861254417899,"🌷🌹🌺🌸🌼🌾🌻 Et vous, ça vous dit la même chose dans votre commune ?   😮 En plus d'être un vrai plus pour la biodiversité, cela réduit également les dépenses communales !",https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/66757842_693861271084564_8236204186467827712_n.jpg?_nc_cat=107&_nc_ohc=cqHNPlibRkgAX8YSB5e&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=f9feb84f72b71c0981a4b09e9405e51c&oe=5ED902AB
7,18 jun 2019 - 30 jun 2019,Inactive,ID : 2628310000520668,"👋 La Ville de Bruxelles dit bye bye aux gobelets, barquettes et pailles en plastique aux événements organisés dans la commune ♻️👏  Ecolo dans la majorité, ça fait la différence 💚 Merci à nos échevin·e·s à la Ville de Bruxelles et bravo à l’échevine de la Propreté publique et du Zéro déchet, Zoubida Jellab, pour cette avancée 💪",https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/65168318_2628310027187332_4232900938353868800_n.jpg?_nc_cat=106&_nc_ohc=UIQVaa-dG4EAX_YZtQl&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=78a41fcfa6c8aa1ae0b2752c76cb3dd2&oe=5EA0F987
8,25 mai 2019 - 25 mai 2019,Inactive,ID : 593048861205112,"Déforestation VS protection de la nature, que choisissez-vous ? 🌳  Le destin de la biodiversité est entre nos mains 🙌 Ce dimanche, l'heure est au choix, l'heure est au vert ! 🌱  Découvrez notre programme environnement ici 👉 https://ecolo.be/environnement/  #JeVoteEcolo #AuCoeurDuChangement",https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/61227222_10156559572882362_4033740367080718336_n.jpg?_nc_cat=107&_nc_ohc=9xYNzmKWRAUAX_fOKIw&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=022ddbdf3b52a61e18788adadf2bad39&oe=5EDA63E3
9,24 mai 2019 - 25 mai 2019,Inactive,ID : 623788758122818,"🚨📢 Nous avons un dernier message à vous adresser pour ce dimanche 🤳🏾  Ce 26 mai, nous vivrons un moment très important. Ce 26 mai, c'est l'heure du choix. Le choix entre ceux qui vivent des peurs et des divisions, ou le choix de celles et ceux qui pensent que dans une société faite de ponts, on est plus ouvert aux changements ; dans une société faite de ponts, on permet le changement. Un changement qui est nécessaire et désiré.   Ce choix, c'est celui des écologistes 🌱  👱‍♂️ Jean-Marc Nollet, 1e à la Chambre sur la liste du Hainaut   #JeVoteEcolo #AuCoeurDuChangement 💚",
