,date,status,id,photo,text
0,Début de diffusion le 15 jan 2020,Actif,ID : 989480258098185,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/83028027_484117448970505_2955871586315403264_n.jpg?_nc_cat=109&_nc_ohc=yWF1htGS-D8AX9sH1LU&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=15419dcce7648e38a6c5953790a1fc56&oe=5ED01329,
1,Début de diffusion le 15 jan 2020,Actif,ID : 2598447590390539,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/83028027_484117448970505_2955871586315403264_n.jpg?_nc_cat=109&_nc_ohc=yWF1htGS-D8AX9sH1LU&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=15419dcce7648e38a6c5953790a1fc56&oe=5ED01329,
2,Début de diffusion le 14 jan 2020,Actif,ID : 579994849216776,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/83041502_1031848540513234_7334600605832314880_n.jpg?_nc_cat=105&_nc_ohc=vpFWNVQOtcAAX_xct8X&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=416605d7ac8d264b463c84da6a9b8814&oe=5E92E80E,"Minder CO2, meer comfort 💚 De trein moet de goedkoopste optie zijn voor reizen tot 1000 km. Teken de petitie! ✅ www.groen.be/reizen"
3,Début de diffusion le 14 jan 2020,Actif,ID : 2557683434516230,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/83041502_1031848540513234_7334600605832314880_n.jpg?_nc_cat=105&_nc_ohc=vpFWNVQOtcAAX_xct8X&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=416605d7ac8d264b463c84da6a9b8814&oe=5E92E80E,"Minder CO2, meer comfort 💚 De trein moet de goedkoopste optie zijn voor reizen tot 1000 km. Teken de petitie! ✅ www.groen.be/reizen"
4,Début de diffusion le 14 jan 2020,Inactive,ID : 1303274509879599,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/83028027_484117448970505_2955871586315403264_n.jpg?_nc_cat=109&_nc_ohc=yWF1htGS-D8AX9sH1LU&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=15419dcce7648e38a6c5953790a1fc56&oe=5ED01329,
5,Début de diffusion le 14 jan 2020,Inactive,ID : 484117428970507,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/83028027_484117448970505_2955871586315403264_n.jpg?_nc_cat=109&_nc_ohc=yWF1htGS-D8AX9sH1LU&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=15419dcce7648e38a6c5953790a1fc56&oe=5ED01329,
6,Début de diffusion le 13 jan 2020,Actif,ID : 449902692551901,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/83114753_2256479044652037_3407512334069923840_n.jpg?_nc_cat=107&_nc_ohc=IJMwEQpZoYsAX959uPO&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=dd7069bcc17259ee0d8923f32bc48989&oe=5E9D913A,"Minder CO2, meer comfort 💚 De trein moet de goedkoopste optie zijn voor reizen tot 1000 km. Like onze pagina als je dit steunt! 👍"
7,Début de diffusion le 13 jan 2020,Actif,ID : 456601575292467,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/82885118_587322081832317_5110157079532797952_n.jpg?_nc_cat=111&_nc_ohc=WM_QHpv8UVAAX_y7X3i&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=2ee5d1a53a7021abb89f184e05fc5a0a&oe=5E9D0CFC,Reizen tot 1000 kilometer moeten het goedkoopst en comfortabelst worden per trein 😍 Akkoord? Like onze pagina 👍
8,Début de diffusion le 13 jan 2020,Actif,ID : 602310717249336,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/82962172_533778340556706_5909325569899626496_n.jpg?_nc_cat=103&_nc_ohc=8lo30oYqSC8AX8tU1vA&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=54f936b9a70d26cb7dc750278435d4f7&oe=5E92FED7,Droom jij ook van mooie treinreizen? 🚂 Breng de nachttrein terug 💚 Like als je dit ook wilt!
9,Début de diffusion le 13 jan 2020,Actif,ID : 456748481688702,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/83147552_456748488355368_84775675101184000_n.jpg?_nc_cat=100&_nc_ohc=PWohNRuLwrYAX9_eaMd&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=6adfea75bc83161646cb3aee7d2ab7eb&oe=5ED87EFD,Reizen tot 1000 kilometer moet het goedkoopst en comfortabelst worden 👍 LIKE onze pagina als je dit ook vindt!
