,date,status,id,text,photo
0,27 déc 2019 - 10 jan 2020,Inactive,ID : 802977483460265,"Venez assister à la première prise de parole de notre nouveau président, @Georges-Louis Bouchez, en présence de nos anciens présidents et de la première ministre. 👀  Le MR - Mouvement Réformateur vous donne rendez-vous pour une mobilisation militante. 👊  🕚 Dimanche 12 janvier à 11h 📌Chemin de la Sucrerie, 2 📌1300 Wavre  On n'oublie jamais sa première fois 😉  La page de l'événement 🔰 https://www.facebook.com/events/591689448066531/  #mr #congres #janvier #president #event #anciens #ministre #fierdetreliberal #PresidenceMR",
1,13 déc 2019 - 18 déc 2019,Inactive,ID : 520495421876552,"En janvier dernier, le PTB se présentait comme le GRAND défenseur des manifestants pour le climat... 😔 Moins d'un an plus tard, avec le Belang, le PTB est le seul parti à ne pas voter en faveur de ma proposition de résolution fixant les ambitions de la Belgique lors de la COP25. 👎 Le PTB ? Plus ""show"" que le climat...",
2,24 mai 2019 - 26 mai 2019,Inactive,ID : 368768937316313,Les candidats du MR vous répondent,
3,24 mai 2019 - 26 mai 2019,Inactive,ID : 1272862486204283,Les candidats du MR vous répondent,
4,24 mai 2019 - 25 mai 2019,Inactive,ID : 364625234401250,"""A quatre jours du scrutin, le MR a fait savoir qu'il saisira la Commission de contrôle des dépenses électorales pour lutter contre « l'action commune » des syndicats.  Charles Michel estime que la FGTB et la Mutualité Socialiste utilisent des moyens pour financer la campagne du PS et que cela ne semble pas correspondre à la loi sur les dépenses électorales"". https://www.rtbf.be/info/belgique/detail_depenses-electorales-pour-charles-michel-il-faut-comptabiliser-l-implication-des-syndicats-et-mutualites-socialistes?id=10227955",https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/61296132_871310776551032_7694559693196230656_n.jpg?_nc_cat=103&_nc_ohc=-TJlvPmFgYkAX-YWXyh&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=0d92f13b7193d9555375f1bba61e9c80&oe=5ED3544B
5,24 mai 2019 - 25 mai 2019,Inactive,ID : 452440548843610,Ecolo reste incohérent concernant l'abattage rituel et les signes conventionnels... Ahmed Mouhssin (candidat Ecolo) et Georges Gilkinet se contredisent sur deux émissions différentes #incohérence,
6,24 mai 2019 - 25 mai 2019,Inactive,ID : 573720879702886,"- POUVOIR D'ACHAT -  ✅ Le MR veut diminuer les impôts sur le travail. Nous voulons augmenter la quotitée exemptée d'impôts à 13.500€. Cette mesure permet d'offir minimum 1000€ net en plus par an pour les travailleurs et ceux qui ont travaillé.  ✅ Baisser de 500€ le précompte immbililier pour les propriétaires occupant leur logement. ✅ Continuer à augmenter les pensions les plus basses. Dans 5 ans, elles seront autour de 1500€ pour les salariés et les indépendants.  Revoir l'intégralité du débat des présidents: https://www.rtbf.be/auvio/detail_le-grand-debat-des-presidents?id=2500772",
7,24 mai 2019 - 26 mai 2019,Inactive,ID : 670098490070504,"1000 euros nets en plus par an, 1500 euros de pension minimum, zéro cotisation sur les trois premiers emplois, davantage de temps pour sa famille, investir dans l’innovation et le climat.  Voici les priorités communes du MR et de l'Open-VLD, pour la prochaine législature. http://www.mr.be/le-mr-et-lopen-vld-devoilent-leurs-priorites-communes/",https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/61469026_2188623531187275_1725522597434621952_n.jpg?_nc_cat=108&_nc_ohc=uByxdMdN4AgAX_mP8_I&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=e1042fd0226d96094ff23903e4351a7b&oe=5EA71A2B
8,24 mai 2019 - 26 mai 2019,Inactive,ID : 841673412877792,"Les deux présidents de parti rééditent leur sortie de 2014 : ils ont des priorités communes, socio-économique et qualité de vie en tête. Sans exclusive ou veto par rapport à autrui.",https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/61457316_469994677103738_4148907608725520384_n.jpg?_nc_cat=110&_nc_ohc=EBJjJEzVfSYAX-oudZa&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=387d898059b30729ccb628823d697fc2&oe=5ED6DE8A
9,24 mai 2019 - 26 mai 2019,Inactive,ID : 855264258157086,Le MR souhaite reconnaitre juridiquement l'e-Sport et donner un statut aux e-sportifs.,https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/60812047_10157203307659512_436568676720705536_n.png?_nc_cat=110&_nc_ohc=svJa4XhIOr4AX_3POKD&_nc_ht=scontent.fgva1-1.fna&oh=4bdc0c67a7dab4a2ac9d4d446caaa11e&oe=5ED39CAE
