,date,status,id,text,photo
0,Début de diffusion le 15 jan 2020,Actif,ID : 484371852454532,"Vlaams minister van Justitie en Handhaving Zuhal Demir zorgt ervoor dat Vlaamse Justitiehuizen voortaan ook daders van huiselijk geweld opvolgen:  ""Je moet met de daders aan de slag om slachtoffers te beschermen"".",https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/83399369_10157959302229414_4569755923458818048_n.jpg?_nc_cat=104&_nc_ohc=xpuonat0YQcAX86GPre&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=a031fd9728af1b457d6a5fe9a72b0440&oe=5ED57656
1,Début de diffusion le 15 jan 2020,Inactive,ID : 1498254460329565,Vlaams minister van Energie Zuhal Demir wil dat de sociale correcties op de waterfactuur meer gaan naar de mensen die ze écht nodig hebben waaronder alleenstaanden en gezinnen met een laag inkomen. 💦,https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/82187394_10157958870884414_2575595568474619904_n.jpg?_nc_cat=102&_nc_ohc=Mjeci1YjjGkAX-mLaD4&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=3a1fe68027116de0ca5fa9a8968d219c&oe=5ED0CB36
2,13 jan 2020 - 17 jan 2020,Inactive,ID : 447223106155537,"'Het Vlaams burgerschap is een kostbaar goed. We vragen grotere inspanningen voor wie het wil verwerven en we verhogen de drempels van de Vlaamse welvaartsstaat, want we vinden het normaal dat men eerst een bijdrage levert vooraleer men er volop kan van mee genieten', zegt voorzitter Bart De Wever. ✌️",
3,Début de diffusion le 13 jan 2020,Actif,ID : 573632803269734,"""Wie 'excelleren' zegt, die zegt in één adem het woord 'eren'. Laat ons dus de leerkrachten eren"", zegt voorzitter Bart De Wever. Akkoord?",
4,Début de diffusion le 10 jan 2020,Actif,ID : 2694195674009282,Maak komaf met opvang voor meervoudige asielaanvragers. Akkoord? 👍,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/82431443_2694195727342610_6620950364642344960_n.jpg?_nc_cat=108&_nc_ohc=iE7USsXYdjMAX8HKZRQ&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=24bf5fcc2468af9b49d29e9513887cd4&oe=5EDA9731
5,10 jan 2020 - 14 jan 2020,Inactive,ID : 729976721112551,"Kamerleden Theo Francken en Darya Safai dienen een wetsvoorstel in om meervoudige asielaanvragen onmogelijk te maken.   ""De opvangwet is goedbedoeld, maar uitgehold door vele misbruiken. Een realistische correctie is nodig.""",https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/82488956_10157943438809414_173908637473832960_n.jpg?_nc_cat=108&_nc_ohc=fJ8x8C-zqMoAX8YKCJr&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=3ce9ba9618cd05fbb1a441a4eddd24ba&oe=5E99B4EA
6,Début de diffusion le 9 jan 2020,Actif,ID : 502850990334635,LIKE onze pagina en blijf ook in 2020 op de hoogte! 👍,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/82502374_502851013667966_1821517190969425920_n.jpg?_nc_cat=101&_nc_ohc=UZwpEh4fu5cAX-GwWq7&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=d4cdc3ee03123a1c9b8974503a86b577&oe=5ED62BEB
7,Début de diffusion le 8 jan 2020,Inactive,ID : 474952826772843,We maken Vlaanderen groener én de bestaande natuur sterker. Akkoord? 💛,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/82570204_465272581081251_3466658290048434176_n.jpg?_nc_cat=108&_nc_ohc=c7Ob6XpMfwQAX83RlvH&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=6b265731a67da0d1b2f72aee013fa571&oe=5EA5122B
8,8 jan 2020 - 17 jan 2020,Inactive,ID : 610009606440059,Gebeten door de politieke microbe én sociale media? Dan hebben wij misschien de perfecte job voor jou.  Kom ons communicatieteam versterken en vlieg 2020 in! ✌️,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/82408160_610009623106724_7876446490120421376_n.jpg?_nc_cat=111&_nc_ohc=aw2Bj2AnulAAX_GUwlW&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=df943eaf53576ca48feb6e7385c85b44&oe=5ED9457C
9,3 jan 2020 - 6 jan 2020,Inactive,ID : 810944575999447,Met een wetswijziging wil Kamerlid Kathleen Depoorter patiënten die een peperduur medicijn nodig hebben - zoals baby Pia - toch helpen.,https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/81279551_10157922764794414_489994487880220672_n.jpg?_nc_cat=100&_nc_ohc=HkAs4EXWJSEAX-OmSKl&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=8201ccb64adb01beec7d8962a9776f86&oe=5E90C92B
