,date,status,id,text,photo
0,19 déc 2019 - 20 déc 2019,Inactive,ID : 2455601924694511,"De très nombreux belges ont besoin du train pour leurs déplacements. Il faut augmenter l’offre de transport, améliorer la qualité du service, et du personnel en suffisance dans des conditions de travail optimales. ➡️ Réinvestissons dans des services publics de qualité! #Servicespublics #Climat #SNCB #Mouvementsocial",https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/81032339_2455601944694509_2684574316296667136_n.jpg?_nc_cat=106&_nc_ohc=NkbJfbDyvPEAX_YYAD1&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=8c1fe9efc9f2ac434d75a4277317929e&oe=5E93EE1D
1,9 déc 2019 - 13 déc 2019,Inactive,ID : 762971880886901,Frais de rappels abusifs : bientôt fini !  Patrick Prévot nous l'explique: le PS a déposé une proposition de loi pour encadrer et plafonner les frais réclamés par les organismes de recouvrement et les huissiers de justice.,
2,21 nov 2019 - 24 nov 2019,Inactive,ID : 455515655097909,"Aujourd’hui, en Belgique, une femme gagne moins qu’un homme à travail égal.  Pour nous, c’est inacceptable !   Le PS veut imposer l’égalité salariale entre les hommes et les femmes dans les entreprises privées.",
3,21 nov 2019 - 25 nov 2019,Inactive,ID : 954171624966911,Stop aux violences faites aux femmes !  Le PS veut inscrire le féminicide dans le code pénal.  Rejoignez-nous ce dimanche à Bruxelles pour manifester contre les violences faites aux femmes.    #stopviolencesfaitesauxfemmes,
4,20 nov 2019 - 24 nov 2019,Inactive,ID : 2491371114431431,"Le groupe de travail « Blouses blanches » présidé par  Marc Goblet a trouvé un accord:   Les travailleurs du secteur de la santé - infirmières, soins à domicile, seront revalorisés, 67 millions seront versés !",https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/75412182_2827778740567069_1275045266126274560_n.png?_nc_cat=106&_nc_ohc=IFRi9ChR7xQAX_k02PU&_nc_ht=scontent.fgva1-1.fna&oh=f43011d86727f081cfcee07d89f049e8&oe=5ED9758D
5,20 nov 2019 - 24 nov 2019,Inactive,ID : 424750548204941,"Aujourd’hui, en Belgique, une femme gagne moins qu’un homme à travail égal.  Pour nous, c’est inacceptable !   Le PS veut imposer l’égalité salariale entre les hommes et les femmes dans les entreprises privées.",
6,19 nov 2019 - 20 nov 2019,Inactive,ID : 2167811143524551,"« On a obtenu 400.000€ de + pour la lutte contre les violences faites aux femmes, on a donc doublé le budget. » Christie Morreale, vice-présidente du gouvernement de la Région wallonne, en charge de l’Emploi, de la Formation, de la Santé et des Droits des femmes  « Notre priorité, c’est le plan de lutte contre les violences faites aux femmes qu’on présentera au gouvernement dans les prochaines semaines, avec un focus sur l’accueil de première ligne et la formation des policiers. » Nawal Ben Hamou, secrétaire d’Etat bruxelloise en charge de l’Egalité des chances, du Logement et des Droits des femmes.",https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/78007420_2167811156857883_8050835554046050304_n.jpg?_nc_cat=102&_nc_ohc=AAzwt4LP7P8AX-cZyRx&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=aa2996f4736ca284ae4fefad4be1c7c1&oe=5EA4544F
7,19 nov 2019 - 20 nov 2019,Inactive,ID : 2250712191886009,"Maxime Mori est un fervent défenseur des étudiants, il connait bien leurs difficultés.  Aujourd’hui, il poursuit son engagement et continue à se battre, avec le PS, pour faire en sorte que chaque jeune puisse étudier, s’émanciper sans discrimination.",
8,15 nov 2019 - 17 nov 2019,Inactive,ID : 404048780505401,"Victoire pour les femmes !   La #propositionPS pour la gratuité de la pilule contraceptive jusqu'à 25 ans et de la pilule du lendemain pour toutes les femmes va être mise en œuvre, nous explique @Eliane Tillieux.   Une réelle et belle avancée pour l’emancipation des femmes! 💪",
9,8 nov 2019 - 9 nov 2019,Inactive,ID : 2426330937416074,"Oui, c'est facile à vérifier !  ⬇️ Réaction de Mélissa Hanus, Députée fédérale PS ⬇️",
