,date,status,id,text,photo
0,Début de diffusion le 8 jan 2020,Inactive,ID : 2876702479058376,"Voor de eerste keer ooit leggen onze poetshulpen het werk neer om hun eis om meer loon kracht bij te zetten. Terecht, wie werkt moet goed beloond worden. Wij steunen alle medewerkers in de sector. 💪",https://scontent-bru2-1.xx.fbcdn.net/v/t1.6435-0/s600x600/81556669_10157090399672151_5254836381498212352_n.jpg?_nc_cat=108&_nc_ohc=R_h0XnOLCzIAX9uimYO&_nc_ht=scontent-bru2-1.xx&_nc_tp=1002&oh=39a61af7dcd1d459892f517f97b36e72&oe=5E9D60D4
1,Début de diffusion le 9 jan 2020,Actif,ID : 2457694537881187,"Tussen Kerst en nieuw kregen sociale huurders een nieuwe huurprijsberekening. Wat blijkt? Er zijn ouders met kinderen met handicap die plots veel meer moeten betalen. Wie doet dat? Het geld zoeken bij de zwaksten?   👉 Als deze regering een nieuwe start wil nemen dan steunt ze ons voorstel zodat mensen die zorg nodig hebben, kunnen rondkomen.",
2,Début de diffusion le 9 jan 2020,Inactive,ID : 501603640486772,"Poetshulpen zijn terecht kwaad. Zij krijgen geen opslag, maar sommige van hun werkgevers keerden zich een nieuwjaarscadeau van 6,8 miljoen in dividenden uit. Geef hen het loon dat ze verdienen. - Anja Vanrobaeys",
3,Début de diffusion le 30 déc 2019,Inactive,ID : 456187221695598,Net zoals mensenrechten horen ook dierenrechten in de grondwet. Volg ook onze pagina als je akkoord gaat. ❤️,https://scontent-bru2-1.xx.fbcdn.net/v/t39.16868-6/s600x600/74775249_793864421069440_879411136724729856_n.jpg?_nc_cat=109&_nc_ohc=uANRadECfwgAX85ZY75&_nc_ht=scontent-bru2-1.xx&_nc_tp=1002&oh=5eb1c9ffbe46784a02329be93de9f99f&oe=5ED49E92
4,Début de diffusion le 30 déc 2019,Inactive,ID : 579650385944580,Je beste vriend meenemen naar het ruisthuis. Wij stemmen voor. LIKE ook onze pagina als je akkoord gaat. ❤️,https://scontent-bru2-1.xx.fbcdn.net/v/t39.16868-6/s600x600/81174059_599948064093500_2735477113342656512_n.jpg?_nc_cat=108&_nc_ohc=WCBguHPgKD4AX-QyKm6&_nc_ht=scontent-bru2-1.xx&_nc_tp=1002&oh=07acb1d59fcbce364376ffbd6730f8b6&oe=5ED5D09D
5,Début de diffusion le 30 déc 2019,Inactive,ID : 2487741648146723,"🐈 Je oma en opa naar het rusthuis met hun huisdier? Moet kunnen, toch?  Wij stemmen voor. Jij ook?",https://scontent-bru2-1.xx.fbcdn.net/v/t39.16868-6/s600x600/75533046_2361034144004993_4635026395427241984_n.jpg?_nc_cat=104&_nc_ohc=r7chkkYZ3c0AX8MxyCE&_nc_ht=scontent-bru2-1.xx&_nc_tp=1002&oh=420e50cea159e9aff9e5c46ae74691a6&oe=5E9F1BFE
6,Début de diffusion le 4 déc 2019,Inactive,ID : 1256853157839769,3 maanden huurwaarborg is voor veel (jonge) mensen te veel. Ben je het eens? Volg dan ook onze pagina. 👍,https://scontent-bru2-1.xx.fbcdn.net/v/t39.16868-6/s600x600/79485514_1256853194506432_3712832084444708864_n.jpg?_nc_cat=108&_nc_ohc=VuHGRKDdJF8AX_UGPvg&_nc_ht=scontent-bru2-1.xx&_nc_tp=1002&oh=5810ac652379a4b24d2402c5297b8501&oe=5EA60BFE
7,Début de diffusion le 14 déc 2019,Inactive,ID : 469225657311431,👉 webmaster 👉 motion designer 👉 community manager 👉 woordvoerder 👉 directeur communicatie  Word jij onze nieuwe collega?,https://scontent-bru2-1.xx.fbcdn.net/v/t39.16868-6/s600x600/80699255_469225673978096_3060084385022738432_n.jpg?_nc_cat=100&_nc_ohc=6F5w0M_1_ZEAX9A1zDK&_nc_ht=scontent-bru2-1.xx&_nc_tp=1002&oh=f128f1fbdfbe2f81a39dd3a6bfc53ffd&oe=5E98BC1B
8,Début de diffusion le 13 déc 2019,Inactive,ID : 1007484862934274,👉 webmaster 👉 motion designer 👉 community manager 👉 woordvoerder 👉 directeur communicatie  Word jij onze nieuwe collega?,https://scontent-bru2-1.xx.fbcdn.net/v/t39.16868-6/s600x600/80479950_1007484892934271_2230602144329760768_n.jpg?_nc_cat=109&_nc_ohc=-1U_UoqP0J0AX_Zfl5W&_nc_ht=scontent-bru2-1.xx&_nc_tp=1002&oh=b86633d4176c15cfc63b19aae1a93453&oe=5E9694D9
9,Début de diffusion le 4 déc 2019,Inactive,ID : 579911769425762,De #woonbonus afschaffen zonder deftige compensatie is een koude belastingverhoging. Volg onze pagina als je het eens bent. 👍,https://scontent-bru2-1.xx.fbcdn.net/v/t39.16868-6/s600x600/79497274_579977382752534_3536508086212624384_n.jpg?_nc_cat=104&_nc_ohc=wFs6JfSq328AX-cZqIU&_nc_ht=scontent-bru2-1.xx&_nc_tp=1002&oh=5e280bd5cdf7d41bb1362a565e0fc4b4&oe=5ED7AFA1
