,date,status,id,text,photo
0,Début de diffusion le 14 jan 2020,Inactive,ID : 2456367091344308,Tijd voor échte verandering. Ook in Geraardsbergen. Kom op 9 februari naar onze startmeeting met Dries Van Langenhove en Guy D’Haeseleer!,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/82807036_2456367111344306_5622689442658516992_n.jpg?_nc_cat=104&_nc_ohc=6Eoid8dXUAgAX9_lR8X&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=c661b4dfc8a65c46e651687f85c295b2&oe=5E9D0DF8
1,Début de diffusion le 13 jan 2020,Inactive,ID : 2521655651492982,"Ondanks eerdere beloftes om niet te besparen, snijdt Wouter Beke nu toch in het geld voor de preventie in de geneeskunde. Bespaar NIET op de gezondheid van de hardwerkende Vlaming maar op immigratie en de TORENHOGE transfers richting Wallonië!",https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/81803643_10157841650561505_8112113630574542848_n.jpg?_nc_cat=104&_nc_ohc=PC9ZYhQ4P0wAX-xQZNL&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=a1917cdf8da649c770c17d172d6fdd62&oe=5ED024E3
2,Début de diffusion le 11 jan 2020,Actif,ID : 3173937022621410,"Terwijl poetshulpen staken voor 1% loonopslag - die ze niet krijgen - wil minister François Bellot een loonstijging voor topmanagers van overheidsbedrijven met 70%. De bevolking moet de topprioriteit zijn, niet de bankrekening van CEO's!",
3,Début de diffusion le 8 jan 2020,Actif,ID : 503233856995441,"HALLUCINANT. Een gezin dat ILLEGAAL in het land verbleef, kreeg € 91.309 aan “achterstallig” kindergeld. ONAANVAARDBAAR. Wat een slag in het gezicht van iedereen die dag in dag uit hard werkt en wél bijdraagt aan onze sociale zekerheid!",
4,Début de diffusion le 8 jan 2020,Inactive,ID : 510651559810052,Heeft iemand de Koksijdenaren gevraagd of ze een asielcentrum willen? Geef de lokale bevolking toch eens eindelijk échte inspraak. Laat jullie stem horen en kom naar onze protestactie op maandag 20 januari!,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/83102126_510651579810050_4454894556499935232_n.jpg?_nc_cat=102&_nc_ohc=ZG1z3RFPm3sAX961zV9&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=ef66c6979e342c6510a610c2be83c6a4&oe=5E9DB6DC
5,Début de diffusion le 8 jan 2020,Inactive,ID : 713464405848329,Heeft iemand aan de lokale bevolking gevraagd of ze een asielcentrum willen? Laat jullie stem horen en kom maandag 20 januari naar onze protestactie in Koksijde!,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/82833051_713464445848325_394555521379598336_n.jpg?_nc_cat=111&_nc_ohc=2zJ1N_MIocUAX_Ch-RE&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=b8f59af43b7ce5df931094b77fb99946&oe=5EDA0D3B
6,Début de diffusion le 6 jan 2020,Inactive,ID : 624642488275210,"Terwijl de besparingen steeds verder gaan, volstaat voor 3 op 4 van ONZE ouderen hun pensioen niet om de rusthuisfactuur te betalen. Bespaar daarom op immigratie, het politieke systeem, de graaipostjes,... en voer met dit geld een maximumfactuur in voor rusthuizen. Kies voor de juiste prioriteiten, tijd voor ÉCHTE verandering!",https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/81171249_10157824243911505_5398566152093827072_n.jpg?_nc_cat=102&_nc_ohc=BVpsKN1Sd8IAX9X8juH&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=eb7124b9dc65bca87a86d8b6c9b08e47&oe=5EA1BE87
7,Début de diffusion le 6 jan 2020,Actif,ID : 609429929849200,"De hardwerkende Vlaming moet steeds meer besparen, maar het budget voor asiel blijft stijgen. € 800 MILJOEN gaat jaarlijks naar de opvang, het kindergeld en het leefloon van asielzoekers. Onaanvaardbaar. Bespaar op asiel, niet op ONZE mensen!",https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/82154874_10157823821181505_2211835503773220864_n.jpg?_nc_cat=105&_nc_ohc=N_nSBqPBeOIAX80qVHr&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=032229397dec1c5bd5aa4697382e050b&oe=5ED5D13E
8,Début de diffusion le 2 jan 2020,Actif,ID : 541657983093620,Tijd om Brussel op te kuisen en het tuig van de rellen op oudejaarsavond hard aan te pakken! LIKE als je het eens bent.,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/81998711_541657996426952_993739459587473408_n.jpg?_nc_cat=109&_nc_ohc=kOyq4-FNJiAAX_eNQ7x&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=72ef60622e7d6f91dfd9f8986e52b79e&oe=5E9AD15C
9,Début de diffusion le 30 déc 2019,Inactive,ID : 1037890889882814,"Het systeem van ""retroactief"" kindergeld is een pure SCHANDE. En het maakt niet uit of het over €100 of €10.000 gaat. Wie NIETS heeft bijgedragen tot onze maatschappij en onze sociale zekerheid, mag hier NOOIT van profiteren. Dat is een kwestie van gezond verstand! DEEL gerust als je het eens bent.",https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/81943050_10157802142031505_7813316432283828224_n.jpg?_nc_cat=101&_nc_ohc=y-3BrIId5QkAX99Y4o7&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=241fead81df067a9f3a2a9b8845f61c6&oe=5E9F7067
